"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3"
"1","Dc00544",84,3,2,1,1
"2","Dc01018",118,3,2,1,1
"3","Dc01661",142,6,2,2,1
"4","Dc01707",143,9,2,2,1
"5","Dc01784",141,3,2,1,1
"6","Dc02951",143,3,2,1,1
"7","Dc03456",143,3,2,1,1
"8","Dc03556",142,3,2,1,1
"9","Dc03887",44,6,2,2,1
"10","Dc05864",87,6,2,2,1
"11","Dc06503",86,2,2,1,1
"12","Dc07300",143,6,2,2,1
"13","Dc07937",136,5,2,2,1
"14","Dc08054",143,6,2,2,1
"15","Dc08189",133,5,2,2,1
"16","Dc08463",143,3,2,1,1
"17","Dc08578",81,6,2,2,1
"18","Dc08865",143,6,2,2,1
"19","Dc10003",109,3,2,1,1
"20","Dc10390",143,3,2,1,1
"21","Dc10878",99,3,2,1,1
"22","Dc10885",142,6,2,2,1
"23","Dc11062",68,6,2,2,1
"24","Dc11203",143,3,2,2,1
"25","Dc11295",65,3,2,1,1
"26","Dc11714",135,3,2,1,1
"27","Dc12329",53,6,2,2,1
"28","Dc13159",128,5,2,2,1
"29","Dc13592",134,5,2,2,1
"30","Dc14022",139,2,2,1,1
"31","Dc14945",143,3,2,1,1
"32","Dc16747",120,3,2,1,1
"33","Dc16962",67,6,2,2,1
"34","Dc18951",143,3,2,1,1
"35","Dc20232",140,5,2,2,1
"36","Dc21465",57,3,2,1,1
"37","Dc21637",42,5,2,2,1
"38","Dc22013",51,5,2,2,1
"39","Dc22883",120,6,2,2,1
"40","Dc22887",143,3,2,1,1
"41","Dc27955",114,3,2,1,1
"42","Dc28124",143,2,2,1,1
"43","Dc28776",138,3,2,1,1
"44","Dc30071",142,3,2,1,1
"45","Dc31007",96,3,2,1,1
"46","Dc33714",142,5,2,2,1
"47","Dc33907",138,3,2,1,1
"48","Dc34902",143,3,2,1,1
"49","Dc35779",142,3,2,1,1
"50","Dc36571",133,3,2,1,1
"51","Dc36616",143,3,2,1,1
"52","Dc36767",87,6,2,2,1
"53","Dc40235",143,3,2,1,1
"54","Dc41234",96,6,2,2,1
"55","Dc46984",143,6,2,2,1
"56","Dc47572",143,5,2,2,1
"57","Dc47935",143,10,2,2,2
"58","Dc48207",126,2,2,1,1
"59","Dc48950",143,6,2,2,1
"60","Dc49080",143,3,2,1,1
"61","Dc49184",143,5,2,2,1
"62","Dc51020",143,3,2,1,1
"63","Dc52523",142,9,2,2,1
"64","Dc55481",125,3,2,1,1
"65","Dc58248",143,8,2,2,1
